"category_number","subcategory_letter","category_name","style_name","og_min","og_max","fg_min","fg_max","ibu_min","ibu_max","srm_min","srm_max","abv_min","abv_max","description","extraction_status","source_markdown"
"30","B","Spiced Beer","Autumn Seasonal Beer","","","","","","","","","","","** A malty, spiced beer that often has a moderately rich body and slightly warming finish suggesting a good accompaniment for the cool fall season, and often evocative of harvest or Thanksgiving traditions. **","review","BJCP_2021_GUIDELINES.md"
"30","C","Spiced Beer","Winter Seasonal Beer","","","","","","","","","","","** A stronger, darker, spiced beer that often has a rich body and warming finish suggesting a good accompaniment for the cold winter season. **","review","BJCP_2021_GUIDELINES.md"
"30","D","Spiced Beer","Specialty Spice Beer","","","","","","","","","","","** An appealing combination of spices, herbs, or vegetables (SHVs), sugars, and beer, but still recognizable as beer. The SHV and sugar character should both be evident but in balance with the beer, not so forward as to suggest an artificial product. **","review","BJCP_2021_GUIDELINES.md"
"31","A","Alternative Fermentables Beer","Alternative Grain Beer","","","","","","","","","","","** A base beer enhanced by or featuring the character of additional grains. The specific character depends greatly on the added grains. **","review","BJCP_2021_GUIDELINES.md"
"32","A","Smoked Beer","Classic Style Smoked Beer","","","","","","","","","","","** A well-balanced fusion of the malt and hops of the base beer style with a pleasant and agreeable smoke character. **","review","BJCP_2021_GUIDELINES.md"
"32","B","Smoked Beer","Specialty Smoked Beer","","","","","","","","","","","** A well-balanced fusion of the malt and hops of the base specialty beer style with a pleasant and agreeable smoke character. **","review","BJCP_2021_GUIDELINES.md"
"33","A","Wood Beer","Wood-Aged Beer","","","","","","","","","","","** A pleasant enhancement of the base beer style with the characteristics from aging in contact with wood. The best examples will be smooth, flavorful, well-balanced, and well-aged. **","review","BJCP_2021_GUIDELINES.md"
"33","B","Wood Beer","Specialty Wood-Aged Beer","","","","","","","","","","","** An elevation of the base beer style with characteristics from aging in contact with wood, including alcoholic products previously in contact with the wood. The best examples will be smooth, flavorful, well-balanced, and well-aged. **","review","BJCP_2021_GUIDELINES.md"
"34","A","Specialty Beer","Commercial Specialty Beer","","","","","","","","","","","** Based on declared beer. **","review","BJCP_2021_GUIDELINES.md"
"34","B","Specialty Beer","Mixed-Style Beer","","","","","","","","","","","** Based on the declared Base Styles, methods, and ingredients. As with all Specialty-Type Beers, the resulting combination of beer styles needs to be harmonious and balanced, and be pleasant to drink. **","review","BJCP_2021_GUIDELINES.md"
"34","C","Specialty Beer","Experimental Beer","1.045","1.100","1.005","1.015","6","30","4","25","4.5","12","** Varies, but should be a unique experience. **","parsed","BJCP_2021_GUIDELINES.md"
